GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_04238	1.1428	1.0220	1.1950	1.1507	1.1446	1.1031	1.1018	1.1002	1.1442	1.1660	1.1089	1.0988	1.1619	1.1305	1.1726	1.1519	1.1087	1.1388	1.1694	1.1136	1.1000	1.1188	1.1291	1.1417	1.2329	1.2229	1.2066	1.2041	1.1096	1.1308	1.1619	1.1446	1.1415	1.1330	1.0957	1.0743	1.0117	1.2693	1.1940	1.1713	1.1273	1.1527	1.1653	1.1665	1.1737	1.1583	1.1971	1.3332	1.1545	1.0797	1.1057	1.0773
CLUG_04239	1.1284	1.1880	1.1223	1.2304	1.2056	1.1010	1.2383	1.1044	1.1931	1.2238	1.3102	1.0411	1.2267	1.1901	1.2686	1.2204	1.2250	1.2039	1.3095	1.2051	1.1216	1.2323	1.2117	1.1943	1.2613	1.2939	1.1851	1.2112	1.2089	1.1977	1.0913	1.1177	1.1848	1.1545	1.1159	1.1679	0.9859	1.3892	1.2031	1.1667	1.1409	1.1585	1.2171	1.1497	1.2196	1.2113	1.1523	1.3850	1.0652	1.1397	1.0602	1.1130
CLUG_04240	1.1675	1.1098	1.1510	1.1428	1.1049	1.0740	1.0894	1.2053	1.1981	1.1772	1.1235	1.1418	1.1620	1.2156	1.2828	1.2759	1.0131	1.1827	1.2305	1.1849	1.0797	1.0874	1.1631	1.2037	1.2591	1.2012	1.1946	1.1840	1.1626	1.2260	1.1599	1.0925	1.1596	1.2508	1.0505	1.1730	0.8888	1.2156	1.1918	1.1614	1.1475	1.1453	1.2413	1.1525	1.2447	1.1556	1.1339	1.3885	1.1189	1.0955	1.1093	1.0767
CLUG_04241	1.2093	1.0950	1.1789	1.2589	1.2351	1.1402	1.1841	1.2626	1.1158	1.1779	1.2056	1.2895	1.1749	1.2502	1.2384	1.2400	1.2314	1.1976	1.1446	1.1864	1.1849	1.1037	1.3236	1.1323	1.2780	1.2845	1.2282	1.1966	1.1345	1.1511	1.1815	1.1976	1.1673	1.2495	1.0705	1.0876	0.9353	1.2504	1.1905	1.2332	1.1507	1.2179	1.1831	1.1997	1.2474	1.2367	1.1476	1.3084	1.0994	1.0553	1.1112	1.1228
CLUG_04242	1.1327	1.0630	1.0359	1.2077	1.0926	1.0299	1.0858	1.0619	1.0879	1.0900	1.1497	1.0908	1.1041	1.0969	1.1005	1.1139	1.1764	1.1071	1.1262	1.0828	1.0550	1.0405	1.1406	1.1505	1.1522	1.0983	1.1667	1.1134	1.0976	1.0966	1.1353	1.1093	1.1452	1.1308	1.0492	1.0599	0.9880	1.1860	1.0772	1.1704	1.1085	1.0724	1.0830	1.1079	1.1615	1.0904	1.0866	1.3301	1.0274	1.0680	1.0681	1.0557
CLUG_04243	1.1688	1.0646	1.0610	1.1070	1.1349	1.1804	1.1397	1.1574	1.1769	1.2153	1.1574	1.1639	1.2048	1.1346	1.1270	1.1995	1.1114	1.0986	1.1484	1.1384	1.1034	1.1156	1.1713	1.1562	1.2380	1.2169	1.1759	1.1591	1.1371	1.1261	1.1397	1.1371	1.1337	1.1945	1.0736	1.0764	1.0410	1.2004	1.1760	1.1652	1.1363	1.1701	1.1308	1.1625	1.1965	1.1310	1.1612	1.3381	1.1343	1.0658	1.1374	1.0883
CLUG_04244	1.1054	1.0190	1.1003	1.0577	1.0599	1.0579	1.0355	1.1215	1.0270	1.1292	1.0672	1.0390	1.0745	1.0858	1.0565	1.0954	1.0835	1.1440	1.0823	1.0364	1.0428	1.1338	1.0674	1.0154	1.1743	1.1576	1.1848	1.1193	1.1182	1.0980	1.1346	1.1547	1.1235	1.1916	0.9766	1.0658	0.9126	1.2471	1.0983	1.1821	1.1360	1.1137	1.1333	1.1857	1.1599	1.1214	1.1150	1.2598	1.1031	1.0780	1.0538	1.0109
CLUG_04245	1.0759	1.0039	1.0808	1.0600	1.0419	1.0543	1.0515	1.1106	1.0333	1.1347	1.0505	0.9838	1.0752	1.0738	1.0458	1.0995	1.0705	1.1387	1.0651	1.0281	1.0245	1.1246	1.0191	1.0278	1.1774	1.1302	1.1712	1.1039	1.1235	1.0927	1.1297	1.1445	1.1450	1.1834	0.9522	1.0817	0.8871	1.2470	1.1096	1.1799	1.1300	1.1230	1.1179	1.1878	1.1657	1.1302	1.1018	1.2671	1.1188	1.0827	1.0495	1.0200
CLUG_04246	1.1566	1.0437	1.1113	1.0854	1.1547	1.0700	1.0654	1.0847	1.1173	1.0821	1.1131	1.2007	1.1603	1.1283	1.1429	1.1317	1.0826	1.1330	1.1574	1.0980	1.1188	1.0804	1.1148	1.1221	1.2015	1.1803	1.1820	1.2315	1.1086	1.0892	1.1248	1.1698	1.1525	1.1391	1.0379	1.1080	0.9809	1.2040	1.1632	1.1692	1.1491	1.1365	1.1500	1.0742	1.2336	1.1347	1.0883	1.2629	1.0644	1.1288	1.0543	1.0870
CLUG_04247	1.1203	1.0931	1.0881	1.1527	1.1257	0.9961	1.0953	1.1509	1.1203	1.1610	1.1300	1.1622	1.1773	1.1046	1.1109	1.1302	1.1209	1.0829	1.0919	1.1439	1.0918	1.1272	1.0514	1.1395	1.1766	1.1309	1.2130	1.1501	1.0942	1.1611	1.1444	1.1440	1.1492	1.1121	1.0660	1.0129	0.9379	1.2187	1.1106	1.1371	1.1252	1.1138	1.1477	1.1259	1.2293	1.1115	1.1318	1.2705	1.0588	1.0581	1.0599	1.1165
CLUG_04248	1.1404	1.0703	1.1074	1.1398	1.1608	1.0485	1.1044	1.1325	1.0986	1.1335	1.1248	1.1777	1.1015	1.0950	1.1485	1.1008	1.1386	1.1076	1.1069	1.1003	1.0894	1.1068	1.1143	1.0912	1.2107	1.1876	1.1859	1.1665	1.1154	1.1048	1.1465	1.1464	1.1644	1.1461	1.0184	1.0653	1.0375	1.2201	1.1506	1.2066	1.1697	1.1444	1.1302	1.1636	1.1830	1.1389	1.1488	1.3171	1.1059	1.0983	1.0976	1.0795
CLUG_04249	1.1634	1.0403	1.0794	1.1540	1.1103	1.0587	1.0634	1.1246	1.1040	1.0877	1.1216	1.1570	1.1350	1.0805	1.1254	1.1123	1.0844	1.0547	1.1053	1.1148	1.0663	1.0825	1.0975	1.0951	1.1883	1.1781	1.1750	1.1490	1.1112	1.1094	1.1541	1.1407	1.1222	1.1719	1.0267	1.0425	0.9773	1.2338	1.1420	1.1562	1.1239	1.1140	1.1189	1.1114	1.1721	1.1342	1.1139	1.3097	1.0736	1.0718	1.0812	1.0481
CLUG_04250	1.0749	1.0941	1.0955	1.1988	1.1074	1.0111	1.1123	1.1554	1.0812	1.1045	1.0055	1.1622	1.2125	1.0345	1.0463	1.0164	0.9538	1.0938	1.1956	1.0487	1.0273	1.1211	1.0729	0.9972	1.1571	1.0889	1.1727	1.1391	1.0672	1.0327	1.1243	1.1268	1.0830	1.1272	0.9188	1.0161	0.9674	1.1801	1.1559	1.1921	1.0908	1.0869	1.1107	1.1015	1.0783	1.0603	1.0776	1.1678	1.0756	1.0202	1.0524	1.0023
CLUG_04251	0.9878	0.9746	0.8931	0.9446	1.0070	0.9418	1.0106	1.0447	0.9198	1.0347	1.0413	0.9884	1.0511	0.9761	1.0213	1.0990	0.9936	0.9729	1.1383	1.0119	1.0343	1.0452	1.0056	1.0042	1.1071	1.0983	1.0786	1.0815	1.0022	1.0368	1.0797	1.0592	1.0552	1.0383	0.9754	0.9545	0.9605	1.0928	1.0695	1.0274	0.9960	1.0196	1.0332	1.0169	1.1522	1.0089	0.9976	1.2091	0.9823	0.9736	1.0108	0.9925
CLUG_04252	1.0455	0.9725	0.9560	1.0796	1.0366	0.9911	1.0069	1.0084	1.0079	1.0664	1.0576	1.0746	0.9812	0.9316	0.9549	1.0174	1.0602	1.0555	1.1355	1.0281	0.9530	0.9626	1.0532	1.0257	1.1044	1.0817	1.0720	1.0718	1.0052	0.9988	1.0759	1.0769	0.9976	1.1053	0.8976	0.9474	0.8988	1.1356	1.0831	1.0983	0.9935	1.0241	1.0349	1.0312	1.0369	0.9918	0.9871	1.2166	0.9651	1.0340	0.9546	0.9328
CLUG_04253	1.1292	1.0031	1.0300	1.0791	1.0285	0.9907	1.0367	1.0685	1.1015	1.0851	1.0705	1.0939	1.1386	1.0700	1.0810	1.1190	1.0713	1.1088	1.1263	1.0705	1.0910	1.0095	1.0650	1.0902	1.1641	1.0789	1.1472	1.0608	1.0924	1.0830	1.0904	1.1295	1.0804	1.0747	0.9777	0.9806	0.9796	1.1517	1.0701	1.0894	1.0641	1.0274	1.1112	1.0836	1.1352	1.1075	1.0340	1.2133	1.0192	1.0355	1.0545	1.0241
CLUG_04254	1.1037	0.9955	1.0319	1.0107	1.0186	0.9696	1.0398	1.0690	1.0780	1.0868	1.0894	1.1183	1.0920	1.0044	1.0554	1.0857	1.0635	1.0245	1.0933	1.0620	1.0438	1.0136	1.0824	1.0588	1.1443	1.1633	1.1492	1.1005	1.0683	1.0855	1.1421	1.0952	1.1122	1.1323	1.0413	1.0197	1.0989	1.1878	1.0870	1.1428	1.0663	1.0884	1.1187	1.1359	1.1503	1.0767	1.0990	1.2799	1.0485	1.0224	1.0560	1.0183
CLUG_04255	0.9731	0.9153	1.0590	0.9084	0.9718	1.0068	0.9581	0.8905	0.9631	1.0338	0.8602	0.9790	0.9594	0.9858	0.9388	0.9337	0.9329	0.9604	0.9827	0.9610	1.0138	0.9103	1.0246	0.9706	1.0528	1.1091	1.0817	1.0922	1.0288	1.0164	1.1229	1.1128	1.0544	1.0800	0.9999	0.9567	1.0473	1.1150	1.0721	1.0846	1.0885	1.0756	1.0533	1.0445	1.1486	1.0425	0.9777	1.1278	1.0560	0.9749	1.0226	1.0562
CLUG_04256	1.0334	0.9500	1.0142	1.0505	1.0348	1.0100	1.0191	1.1127	0.9918	1.0865	0.9433	1.0767	0.9848	1.0319	0.9745	1.0295	1.0684	1.0251	1.1970	1.0344	1.0743	1.0319	1.0409	0.9204	1.2017	1.1476	1.1337	1.1089	1.0511	1.0732	1.1041	1.1211	1.0886	1.1199	1.0119	1.0286	1.1690	1.1856	1.1192	1.1247	1.0542	1.0817	1.1183	1.0861	1.0846	1.1241	1.0531	1.3058	1.0418	1.0976	1.0584	1.0320
CLUG_04257	1.0368	0.9608	1.0294	1.0496	1.0312	1.0001	1.0262	1.0901	1.0114	1.0815	0.9517	1.0802	0.9957	1.0403	1.0061	1.0699	1.0821	1.0774	1.1841	1.0507	1.0878	1.0077	1.0426	0.9532	1.1995	1.1496	1.1506	1.1252	1.0669	1.0824	1.1475	1.1206	1.0937	1.1255	1.0268	1.0352	1.1450	1.2235	1.1422	1.1449	1.0625	1.0952	1.1144	1.1157	1.0945	1.1240	1.0932	1.2999	1.0625	1.0932	1.0567	1.0256
CLUG_04258	1.0469	0.9045	1.0238	0.9912	0.9861	0.9387	1.0095	0.9600	1.0384	0.9912	1.0114	1.0302	1.0028	1.0079	1.0248	1.0337	0.9583	0.9639	1.0135	0.9810	0.9504	0.9740	1.0445	0.9791	1.1002	1.0514	1.0709	1.0668	0.9714	1.0365	1.1178	1.0286	1.0510	1.0023	1.0080	0.9421	0.9473	1.1181	1.0873	1.1084	1.0287	1.0115	1.0164	1.0450	1.0889	1.0141	0.9962	1.0987	0.9690	0.9541	0.9780	0.9952
CLUG_04259	1.0994	0.8296	0.9986	1.1416	0.9353	0.9238	1.0930	1.0663	1.0265	1.1202	1.1403	1.0898	1.0115	0.9836	1.0992	1.0749	1.0871	0.9858	1.0796	1.0376	1.1052	1.1496	0.9826	1.1063	1.1480	1.2155	1.1799	1.0058	1.0944	1.1195	1.1907	1.1766	1.1015	1.1078	0.9358	1.0672	0.8956	1.2484	1.0621	1.1794	1.0823	1.0741	1.1521	1.1044	1.2462	1.0842	1.0413	1.2465	0.9488	0.9765	1.0496	1.0481
CLUG_04260	0.9924	0.9206	0.9126	0.9052	1.0145	1.0275	1.0620	1.0241	0.9954	0.9946	1.0515	1.0007	0.9285	0.9649	0.9793	0.9142	1.0206	1.0338	1.0008	0.9972	0.9877	0.9504	1.0210	0.9856	1.1081	1.0724	1.1421	1.0657	1.0276	1.0319	1.1006	1.0674	0.9969	1.0655	0.9786	0.9711	0.9734	1.0976	1.0250	1.0564	1.0439	1.0301	1.0445	1.0206	1.0979	1.0400	1.0419	1.1779	1.0342	1.0019	0.9811	0.9675
CLUG_04261	0.8164	0.8146	0.9519	0.9167	0.9329	0.7970	0.9256	0.9241	0.8618	0.9355	0.9090	0.9918	0.8170	0.8943	0.8737	0.9221	0.9084	0.8774	0.9491	0.8804	0.9578	0.9695	0.9124	0.9438	0.9936	0.9058	1.0571	1.0167	0.9339	0.9022	1.0094	0.9018	0.9529	0.9963	0.9091	0.8791	0.8940	1.0739	0.9350	0.9966	0.9209	0.9740	0.9269	0.9341	0.9697	0.9494	0.9281	1.1302	0.9042	0.9196	0.9434	0.8861
CLUG_04262	1.0146	0.9138	0.9332	0.9511	0.9690	0.8813	0.9279	0.9702	1.0424	0.9565	0.9372	0.9964	0.9663	0.9352	0.9012	0.8918	0.9116	0.9860	1.0321	0.9190	0.9590	0.9551	1.0781	1.0020	1.1168	1.0562	1.1242	1.0250	1.0175	1.0020	1.0885	1.0678	1.0171	1.0180	1.0104	0.9141	1.1399	1.1292	1.0180	1.1147	1.0312	1.0598	1.0200	0.9884	1.0936	1.0598	1.0635	1.1416	1.0052	0.9360	1.0003	0.9879
CLUG_04263	1.0793	1.0253	1.1126	1.0198	1.0244	0.9621	1.0360	1.1416	1.1132	1.0798	1.1427	1.0950	1.0818	1.0614	1.0359	1.0534	1.0270	1.0496	1.0548	1.0302	1.0371	1.0480	1.0686	0.9947	1.1738	1.1192	1.1379	1.1264	1.0602	1.0968	1.1629	1.1322	1.1366	1.1382	1.0357	1.0007	0.9433	1.1747	1.0612	1.1299	1.0482	1.0586	1.1264	1.0720	1.1783	1.0740	1.0693	1.2336	1.0797	1.0168	1.0704	1.0143
CLUG_04264	1.1399	1.0010	1.0685	1.0851	1.0550	0.9818	1.0885	1.1031	1.0745	1.0827	1.0290	1.0310	1.0631	0.9998	1.0301	1.0407	1.0319	1.0305	1.0383	1.0538	0.9841	1.0233	1.0228	1.0382	1.1471	1.1407	1.1313	1.0899	1.0019	1.0535	1.1089	1.0527	1.0347	1.1259	0.9728	1.0582	0.9454	1.1677	1.0734	1.1155	1.0831	1.0394	1.0421	1.0819	1.1475	1.0287	1.0724	1.1448	1.0357	1.0592	1.0232	0.9973
CLUG_04265	0.9522	0.9381	1.0234	1.0158	1.0555	0.9341	1.0391	1.0144	1.1253	1.0104	1.0194	1.1485	1.0857	1.0009	1.0421	1.0603	1.1882	1.0659	1.0475	1.0386	0.9753	0.9842	1.0094	0.9683	1.1775	1.0849	1.1329	1.0864	1.0304	1.0296	1.1274	1.1301	1.0958	1.0618	1.0266	0.9857	1.0160	1.1558	1.0961	1.1175	1.0917	1.0358	1.1263	1.0408	1.0654	1.0486	1.0176	1.1934	1.0220	1.0814	1.0514	1.0070
CLUG_04266	1.0742	1.1260	1.0786	1.1896	1.0770	0.9708	1.1445	1.1244	1.1467	1.1759	1.2245	1.2152	1.1306	1.0492	1.1838	1.1034	1.1197	1.0107	1.2868	1.0422	1.0179	1.1129	1.0706	1.0202	1.1424	1.0529	1.0992	1.1208	1.0253	1.1034	1.0449	1.0599	0.9845	1.0985	1.0111	0.9951	1.0266	1.0410	1.0661	1.1287	1.0480	1.0357	1.1072	1.0400	1.1807	1.0444	1.0239	1.1694	1.0237	0.9811	1.0683	0.9871
CLUG_04267	1.0919	0.9950	1.0532	1.1581	1.1424	0.9872	1.0154	1.2086	1.1368	1.0859	1.1471	1.0857	1.1117	1.0260	1.0807	1.0454	1.0078	1.0785	1.0922	1.0660	1.0301	1.0657	1.0408	1.0273	1.1582	1.0267	1.1367	1.0819	1.0245	1.0761	1.1142	1.0921	1.0326	1.0751	1.0199	0.9588	1.0391	1.1224	1.0630	1.1111	1.0437	1.0428	1.0148	1.0287	1.1043	1.0665	1.0060	1.1876	1.0337	1.0417	1.0666	0.9964
CLUG_04268	0.9989	0.8472	0.9075	0.8698	0.8859	0.8613	0.9406	0.9752	0.9872	0.8537	0.9163	0.9328	0.9371	0.9196	0.9167	0.9041	0.8413	0.9443	0.9872	0.8830	0.9323	0.8963	0.9574	0.9551	1.0935	1.0106	1.0460	1.0183	0.9652	0.9454	1.0202	0.9963	1.0176	1.0070	0.8698	0.9386	0.8901	1.0613	1.0081	1.0219	0.9665	1.0081	1.0109	1.0031	1.0434	0.9365	0.9614	1.0754	0.9934	0.9749	0.9452	0.9296
CLUG_04269	1.0607	0.9051	0.9550	1.0415	0.9776	0.8891	1.0214	0.9668	1.0349	1.0090	0.9787	1.0217	0.9385	0.9963	0.9941	0.9874	0.9329	0.9959	0.9730	0.9396	0.9286	0.9697	0.9051	1.0122	1.0619	1.0762	1.1359	1.0555	1.0285	1.0073	1.0848	1.0948	1.0645	1.0519	0.9676	0.9518	0.9546	1.1550	0.9966	1.1202	1.0383	1.0675	1.0699	1.0549	1.0943	1.0511	1.0282	1.1459	0.9314	1.0341	1.0148	1.0004
CLUG_04270	1.0116	0.8729	0.8494	0.9204	0.9642	0.8409	0.9878	0.9812	0.9102	0.9231	0.9498	0.9750	0.9087	0.9270	0.9258	0.9223	0.8747	0.9544	0.9651	0.9150	0.8942	0.8793	0.9965	0.9497	1.0713	1.0566	1.0500	1.0393	1.0089	1.0324	1.0500	1.0329	0.9971	1.0383	0.9720	0.9474	1.0833	1.0630	1.0077	1.1045	1.0391	0.9844	0.9961	1.0337	1.0964	1.0045	0.9630	1.1631	0.9868	0.9878	0.9797	1.0097
CLUG_04271	0.9154	0.8318	0.8601	0.9170	0.8203	0.8598	0.9115	0.9280	0.9128	0.8954	0.9031	0.8921	0.9044	0.8614	0.8533	0.8166	0.9401	0.9620	0.8967	0.8585	0.8595	0.9412	0.8736	0.9451	1.0268	0.9904	1.0659	1.0262	0.9805	1.0375	1.0183	1.0227	0.9803	1.0085	0.9338	0.9983	1.0089	1.1016	1.0573	1.1349	1.0277	0.9783	0.9871	1.0315	1.0154	1.0068	0.9659	1.1486	0.9544	0.9998	0.9742	0.9221
CLUG_04272	0.8962	0.8864	0.9060	0.9302	0.9148	0.8573	0.9199	0.8812	0.8954	0.9493	0.8679	0.8990	0.9382	0.8661	0.8877	0.7919	0.8722	0.8821	0.9677	0.9201	0.8361	0.8446	0.9175	0.9038	1.0252	0.9865	1.0272	1.0063	0.9382	0.9802	0.9830	0.9849	0.9225	1.0286	0.9218	0.8912	0.9070	1.0547	0.9620	1.0554	0.9431	0.9844	0.9784	0.9659	1.0100	0.9812	0.9613	1.1160	0.9611	0.9250	1.0223	0.9363
CLUG_04273	1.0605	1.0239	1.0130	1.0158	1.1375	1.0653	0.9988	1.0602	0.9792	1.0770	0.9351	1.0954	1.1003	1.0246	0.9724	0.9320	0.9981	0.9556	1.0482	1.0335	1.0200	1.0263	1.0571	0.9782	1.1939	1.1136	1.1768	1.0448	1.0672	1.1002	1.0513	1.1132	1.0897	1.1095	0.9359	0.9668	0.9672	1.1217	1.0645	1.1524	1.1095	1.0609	1.0647	1.1454	1.1804	1.0244	1.0433	1.2110	1.1104	1.0928	1.0813	1.0161
CLUG_04274	1.0093	1.1192	1.0900	1.1150	1.2031	1.0849	1.0256	1.0772	0.9752	1.0729	0.9826	1.0860	1.1995	1.1023	0.9953	0.9950	0.9820	0.9877	1.1677	1.0815	1.0311	1.0982	1.0198	0.9863	1.2040	1.1522	1.2162	1.0691	1.0214	1.1144	1.1000	1.1324	1.1003	1.1362	0.9893	1.0148	0.9619	1.1950	1.0721	1.1812	1.1511	1.0633	1.0915	1.2243	1.2440	1.0273	1.0981	1.2176	1.1827	1.1344	1.1235	1.0891
CLUG_04275	1.0346	0.9478	1.0195	1.0049	0.9713	0.9477	1.0310	0.9638	1.1013	1.0340	1.0226	1.0157	1.0080	0.9785	1.0078	1.0515	0.9735	0.9559	1.0317	0.9537	0.9129	0.9661	0.9996	0.9683	1.1525	1.1085	1.1295	1.1371	1.0209	1.0700	1.1523	1.1228	1.0998	1.1005	1.0036	0.9922	0.9991	1.1019	1.0491	1.2042	1.0940	1.0963	1.0390	1.0794	1.1182	1.0514	1.0968	1.1665	1.0149	1.0812	1.0245	1.0007
CLUG_04276	1.0362	0.9497	1.0664	0.8676	0.9739	0.9040	0.9961	1.0173	1.0616	1.0235	0.9225	1.0704	0.9195	0.9688	0.9311	0.9486	1.1034	0.9821	1.0452	1.0132	1.0670	1.0315	0.9155	1.0802	1.0613	1.0630	1.0468	1.0787	0.9849	0.9850	1.0726	1.0197	1.0456	1.0738	0.9260	0.9822	1.0203	1.0383	1.0476	1.1932	1.0715	1.0637	1.0919	1.0500	1.1503	0.9520	0.9932	1.1518	1.0893	1.0369	1.0875	0.9836
CLUG_04277	0.9530	0.9041	0.9595	0.9750	0.9670	0.9224	0.9479	0.9975	0.9937	1.0364	0.9567	1.0393	1.0247	0.9166	0.9277	0.8841	0.9535	0.9488	1.0100	0.9624	0.9295	0.9650	1.0051	1.0216	1.1396	1.0729	1.1553	1.0841	1.0306	1.0272	1.1152	1.1032	1.0555	1.0684	0.9923	1.0306	1.1438	1.1683	1.0677	1.2253	1.0756	1.0713	1.0721	1.0646	1.1018	1.0363	0.9935	1.1607	1.0345	1.0496	1.0337	1.0276
CLUG_04278	1.1485	0.9488	0.9208	1.0141	1.1806	0.9395	1.0027	0.9802	0.9944	1.1357	0.9052	1.0367	1.0810	0.9773	1.0919	1.1686	1.0609	1.1166	0.9245	1.0867	1.0152	0.9582	1.1911	1.1155	1.1323	1.1614	1.2608	1.0898	0.9972	1.0399	1.1709	1.1463	1.0720	1.0780	0.9704	1.0751	0.8674	1.0895	1.0259	1.1693	0.9835	1.1515	1.0365	1.0808	1.1394	1.1518	1.2490	1.2580	1.0738	0.9870	0.9622	1.0921
CLUG_04279	1.0493	0.9327	1.0515	1.0239	1.0794	0.9899	0.9825	0.8874	1.0297	0.9551	0.9201	1.1382	1.0924	0.9808	1.0367	0.8857	0.9326	0.9279	1.0392	0.9600	0.9544	0.9791	1.0475	0.9982	1.0275	1.0192	1.1832	1.0173	1.0133	1.0135	1.0877	1.0562	1.0282	1.1585	0.9391	0.9442	0.9710	1.0760	0.9816	1.1640	1.0875	1.0250	1.0007	0.9976	1.1636	1.0742	0.9902	1.1678	1.0041	1.0100	0.9910	0.9921
CLUG_04280	1.0449	1.0248	1.0192	1.0395	1.0183	0.9556	1.0160	1.0203	1.0620	1.0562	0.9929	1.0767	1.0554	1.0245	1.0446	1.0433	1.0145	0.9817	1.1251	1.0034	1.0102	1.0538	1.0655	1.0622	1.1351	1.1203	1.1538	1.1028	1.0103	1.0535	1.1292	1.1239	1.0812	1.0634	1.0138	0.9917	1.1175	1.1168	1.0985	1.1867	1.0650	1.0846	1.0761	1.0402	1.1200	1.0364	1.0271	1.1888	1.0582	1.0231	1.0672	1.0334
CLUG_04281	0.8097	0.8466	0.7986	0.8910	0.8459	0.7847	0.9300	0.7980	0.8807	0.9104	0.8777	0.9089	0.9492	0.8059	0.7961	0.8350	0.8592	0.9044	0.9204	0.8484	0.7971	0.8122	0.8803	0.8343	0.9979	0.9877	1.0329	0.9438	0.9008	0.9663	1.0414	0.9864	0.9255	0.9609	0.8859	0.9113	1.0579	1.0576	0.9618	1.1024	0.9340	0.9250	0.9349	0.9387	1.0116	0.9524	0.9427	1.0722	0.9854	0.9588	0.9506	0.9213
CLUG_04282	1.0364	0.8873	0.9025	0.9842	1.0683	0.9488	0.9821	1.0959	0.9983	0.9643	0.9464	1.0005	1.0063	0.9676	0.9778	0.9149	0.9148	0.9260	0.9804	0.9870	0.9481	0.8919	1.0064	0.9439	1.0981	1.0758	1.0814	1.0092	0.9923	1.0059	1.1018	1.0685	1.0307	1.0587	0.9320	0.9732	0.9902	1.1120	1.0277	1.1776	1.0109	1.0276	1.0224	1.0764	1.0480	1.0602	0.9961	1.1777	0.9865	0.9850	1.0112	0.9668
CLUG_04283	0.9654	1.0146	0.9421	0.9490	0.9988	0.9354	0.9873	1.0630	1.0081	0.9314	1.1186	1.0470	1.0190	1.0093	1.0042	1.0080	1.0466	1.0637	1.0433	1.0234	0.9829	0.9950	1.0210	1.0702	1.1147	1.0409	1.1289	1.0605	0.9956	0.9905	1.0494	1.0687	1.0342	0.9637	0.9441	0.9439	0.8068	1.1026	1.0489	1.1885	1.0245	1.0419	0.9363	0.9593	1.0734	1.0231	1.0380	1.0883	0.9268	1.0098	1.0147	0.9919
CLUG_04284	1.0108	0.9122	0.9911	0.9816	1.0108	0.9626	0.9996	1.0098	1.0327	0.9839	0.9638	1.0877	1.0165	0.9342	0.9601	0.8945	1.0166	0.9093	1.0122	0.9645	0.9752	0.9629	0.9996	0.9673	1.0423	1.0549	1.1215	1.0214	0.9931	0.9794	1.1077	1.0789	1.0013	1.0033	0.9642	0.9913	1.0575	1.1255	1.0370	1.1698	1.0314	1.0268	1.0331	0.9873	1.0488	0.9913	1.0206	1.1087	0.9934	1.0471	1.0200	1.0008
CLUG_04285	0.8657	0.8677	0.9599	0.9563	0.8782	0.8794	0.8935	0.8421	0.9851	0.8776	0.8647	0.8102	0.8518	0.8431	0.8392	0.7324	0.9418	0.8943	0.8964	0.9009	0.9871	0.8182	0.8357	0.8429	0.9753	0.9656	0.9983	0.9726	0.9172	0.9282	1.0152	1.0266	0.9240	0.9574	0.8519	0.8848	0.8897	0.9104	0.9360	1.0998	0.9246	0.9786	0.9238	0.9846	0.9561	0.9236	0.9903	1.0931	0.9512	0.9548	0.9625	0.9274
CLUG_04286	0.9651	0.9730	0.9093	1.0449	1.0379	0.8509	1.0059	0.9687	1.0229	0.9553	0.9282	0.9250	0.9693	0.9924	0.9875	1.0747	0.9385	1.0369	0.9259	0.9930	0.9490	0.9654	0.9519	1.0427	1.0692	1.0650	1.1170	1.0060	0.9545	0.9683	1.0669	0.9803	1.0286	1.0204	0.9558	0.9525	0.9228	1.0917	1.0153	1.1847	1.0052	1.0175	1.0079	1.0578	1.0960	1.0342	1.0308	1.0997	0.9699	1.0648	1.0064	0.9506
CLUG_04287	1.0771	0.9753	0.9444	1.0654	1.1664	0.9136	1.0780	1.0267	1.0691	1.0768	1.0121	1.0690	1.0097	1.0490	1.0746	1.0723	1.0584	1.0933	1.0991	1.0525	1.0935	1.0701	1.0192	1.0495	1.1640	1.1777	1.1898	1.1169	1.0420	1.0959	1.1577	1.0850	1.1105	1.1207	1.0272	0.9937	1.0597	1.2167	1.1184	1.2947	1.0872	1.0550	1.1311	1.1174	1.2091	1.0872	1.1578	1.2090	1.0591	1.1456	1.0705	1.0498
