GENE	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_01746	0.6780	C5.9L2	UNK	C
CLUG_01746	0.7275	C6.9L3	UNK	C
CLUG_01746	0.7691	C7.9L4	UNK	C
CLUG_01746	0.6486	C8.9M1	UNK	C
CLUG_01746	0.7790	C9.9M2	UNK	C
CLUG_01746	0.8828	ctl1.AL1B	L	A
CLUG_01746	0.8307	ctl2.AL1B	L	A
CLUG_01746	0.8252	ctl3.C9L1	UNK	C
CLUG_01747	0.9174	A10.L4C	L	A
CLUG_01747	0.8786	A11.L11G	L	A
CLUG_01747	0.9158	A12.L10B	L	A
CLUG_01747	0.7882	A13.L3B	L	A
CLUG_01747	0.8468	A14.L4E	L	A
CLUG_01747	0.9996	A15.L4G	L	A
CLUG_01747	1.0415	A16.L7C	L	A
CLUG_01747	0.8212	A17.L1B	L	A
CLUG_01747	0.8237	A18.S4H	S	A
CLUG_01747	0.8933	A19.S3B	S	A
CLUG_01747	0.9429	A2.U10A	U	A
CLUG_01747	0.8834	A20.S1E	S	A
CLUG_01747	0.8453	A21.S8A	S	A
CLUG_01747	0.8653	A22.UpperP	U	A
CLUG_01747	0.8978	A23.LowerP	L	A
CLUG_01747	0.8357	A24.SputuP	S	A
CLUG_01747	0.7889	A3.U3G	U	A
CLUG_01747	0.8478	A4.U3B	U	A
CLUG_01747	0.8051	A5.U10D	U	A
CLUG_01747	0.9331	A6.U5C	U	A
CLUG_01747	0.8428	A7.U3E	U	A
CLUG_01747	0.8894	A8.U2E	U	A
CLUG_01747	0.8110	A9.L3D	L	A
CLUG_01747	0.7886	ATCC42720	UNK	ATCC42720
CLUG_01747	0.8200	B16.1310D	UNK	B
CLUG_01747	0.7333	B17.1311G	UNK	B
CLUG_01747	0.8225	B18.1312G	UNK	B
CLUG_01747	0.8065	B19.1310A	UNK	B
CLUG_01747	0.7911	B20.1311A	UNK	B
CLUG_01747	0.8678	B21.1312A	UNK	B
CLUG_01747	0.8680	B22.134E	UNK	B
CLUG_01747	0.8223	B23.133H	UNK	B
CLUG_01747	0.8653	B24.133F	UNK	B
CLUG_01747	0.8304	B25.135C	UNK	B
CLUG_01747	0.8175	B26.131A	UNK	B
CLUG_01747	0.8304	B27.136A	UNK	B
CLUG_01747	0.8448	B28.13UM	UNK	B
CLUG_01747	0.6253	C10.9M3	UNK	C
CLUG_01747	0.7071	C11.9M41	UNK	C
CLUG_01747	0.7588	C12.9U1	UNK	C
CLUG_01747	0.8999	C13.9U2	UNK	C
CLUG_01747	0.8137	C14.9U3	UNK	C
CLUG_01747	0.8639	C15.9U4s	UNK	C
CLUG_01747	0.6984	C4.9L1	UNK	C
CLUG_01747	0.6799	C5.9L2	UNK	C
CLUG_01747	0.7493	C6.9L3	UNK	C
CLUG_01747	0.7237	C7.9L4	UNK	C
CLUG_01747	0.6218	C8.9M1	UNK	C
CLUG_01747	0.8052	C9.9M2	UNK	C
CLUG_01747	0.8317	ctl1.AL1B	L	A
CLUG_01747	0.8348	ctl2.AL1B	L	A
CLUG_01747	0.8130	ctl3.C9L1	UNK	C
CLUG_01748	0.9336	A10.L4C	L	A
CLUG_01748	0.9307	A11.L11G	L	A
CLUG_01748	0.9869	A12.L10B	L	A
CLUG_01748	0.8784	A13.L3B	L	A
CLUG_01748	0.9787	A14.L4E	L	A
CLUG_01748	0.9877	A15.L4G	L	A
CLUG_01748	0.9308	A16.L7C	L	A
CLUG_01748	0.8954	A17.L1B	L	A
CLUG_01748	0.9161	A18.S4H	S	A
CLUG_01748	0.8900	A19.S3B	S	A
CLUG_01748	0.9135	A2.U10A	U	A
CLUG_01748	0.9315	A20.S1E	S	A
CLUG_01748	0.8447	A21.S8A	S	A
CLUG_01748	0.9323	A22.UpperP	U	A
CLUG_01748	0.8833	A23.LowerP	L	A
CLUG_01748	0.9504	A24.SputuP	S	A
CLUG_01748	0.7546	A3.U3G	U	A
CLUG_01748	0.9658	A4.U3B	U	A
CLUG_01748	0.7949	A5.U10D	U	A
CLUG_01748	0.9599	A6.U5C	U	A
CLUG_01748	0.8420	A7.U3E	U	A
CLUG_01748	0.8611	A8.U2E	U	A
CLUG_01748	0.8825	A9.L3D	L	A
CLUG_01748	0.8219	ATCC42720	UNK	ATCC42720
CLUG_01748	0.8670	B16.1310D	UNK	B
CLUG_01748	0.6952	B17.1311G	UNK	B
CLUG_01748	0.8334	B18.1312G	UNK	B
CLUG_01748	0.8466	B19.1310A	UNK	B
CLUG_01748	0.8015	B20.1311A	UNK	B
CLUG_01748	0.9126	B21.1312A	UNK	B
CLUG_01748	0.8965	B22.134E	UNK	B
CLUG_01748	0.8292	B23.133H	UNK	B
CLUG_01748	0.8568	B24.133F	UNK	B
CLUG_01748	0.7658	B25.135C	UNK	B
CLUG_01748	0.8658	B26.131A	UNK	B
CLUG_01748	0.8099	B27.136A	UNK	B
CLUG_01748	0.7900	B28.13UM	UNK	B
CLUG_01748	0.6080	C10.9M3	UNK	C
CLUG_01748	0.7331	C11.9M41	UNK	C
CLUG_01748	0.7328	C12.9U1	UNK	C
CLUG_01748	0.9096	C13.9U2	UNK	C
CLUG_01748	0.8587	C14.9U3	UNK	C
CLUG_01748	0.8553	C15.9U4s	UNK	C
CLUG_01748	0.7075	C4.9L1	UNK	C
CLUG_01748	0.6458	C5.9L2	UNK	C
CLUG_01748	0.7508	C6.9L3	UNK	C
CLUG_01748	0.7475	C7.9L4	UNK	C
CLUG_01748	0.6457	C8.9M1	UNK	C
CLUG_01748	0.8157	C9.9M2	UNK	C
CLUG_01748	0.8294	ctl1.AL1B	L	A
CLUG_01748	0.8925	ctl2.AL1B	L	A
CLUG_01748	0.8135	ctl3.C9L1	UNK	C
CLUG_01749	0.9508	A10.L4C	L	A
CLUG_01749	0.8907	A11.L11G	L	A
CLUG_01749	0.9088	A12.L10B	L	A
CLUG_01749	0.8557	A13.L3B	L	A
CLUG_01749	0.9502	A14.L4E	L	A
CLUG_01749	0.9563	A15.L4G	L	A
CLUG_01749	0.9305	A16.L7C	L	A
CLUG_01749	0.8655	A17.L1B	L	A
CLUG_01749	0.8758	A18.S4H	S	A
CLUG_01749	0.8664	A19.S3B	S	A
CLUG_01749	0.9878	A2.U10A	U	A
CLUG_01749	0.9164	A20.S1E	S	A
CLUG_01749	0.8358	A21.S8A	S	A
CLUG_01749	0.9200	A22.UpperP	U	A
CLUG_01749	0.9085	A23.LowerP	L	A
CLUG_01749	0.8914	A24.SputuP	S	A
CLUG_01749	0.8147	A3.U3G	U	A
CLUG_01749	0.9587	A4.U3B	U	A
CLUG_01749	0.7631	A5.U10D	U	A
CLUG_01749	0.9492	A6.U5C	U	A
CLUG_01749	0.8564	A7.U3E	U	A
CLUG_01749	0.9237	A8.U2E	U	A
CLUG_01749	0.8476	A9.L3D	L	A
CLUG_01749	0.7730	ATCC42720	UNK	ATCC42720
CLUG_01749	0.8811	B16.1310D	UNK	B
CLUG_01749	0.7425	B17.1311G	UNK	B
CLUG_01749	0.8579	B18.1312G	UNK	B
CLUG_01749	0.8166	B19.1310A	UNK	B
CLUG_01749	0.7503	B20.1311A	UNK	B
CLUG_01749	0.8825	B21.1312A	UNK	B
CLUG_01749	0.9000	B22.134E	UNK	B
CLUG_01749	0.8766	B23.133H	UNK	B
CLUG_01749	0.9053	B24.133F	UNK	B
CLUG_01749	0.8020	B25.135C	UNK	B
CLUG_01749	0.8555	B26.131A	UNK	B
CLUG_01749	0.8769	B27.136A	UNK	B
CLUG_01749	0.8083	B28.13UM	UNK	B
CLUG_01749	0.6259	C10.9M3	UNK	C
CLUG_01749	0.7299	C11.9M41	UNK	C
CLUG_01749	0.7515	C12.9U1	UNK	C
CLUG_01749	0.9057	C13.9U2	UNK	C
CLUG_01749	0.8815	C14.9U3	UNK	C
CLUG_01749	0.8423	C15.9U4s	UNK	C
CLUG_01749	0.7105	C4.9L1	UNK	C
CLUG_01749	0.7051	C5.9L2	UNK	C
CLUG_01749	0.7620	C6.9L3	UNK	C
CLUG_01749	0.7681	C7.9L4	UNK	C
CLUG_01749	0.6384	C8.9M1	UNK	C
CLUG_01749	0.8125	C9.9M2	UNK	C
CLUG_01749	0.8431	ctl1.AL1B	L	A
CLUG_01749	0.8399	ctl2.AL1B	L	A
CLUG_01749	0.8864	ctl3.C9L1	UNK	C
CLUG_01750	0.6944	A10.L4C	L	A
CLUG_01750	0.7753	A11.L11G	L	A
CLUG_01750	0.8997	A12.L10B	L	A
CLUG_01750	0.7022	A13.L3B	L	A
CLUG_01750	0.8545	A14.L4E	L	A
CLUG_01750	0.9132	A15.L4G	L	A
CLUG_01750	0.9071	A16.L7C	L	A
CLUG_01750	0.7094	A17.L1B	L	A
CLUG_01750	0.7659	A18.S4H	S	A
CLUG_01750	0.8355	A19.S3B	S	A
CLUG_01750	0.8529	A2.U10A	U	A
CLUG_01750	0.9200	A20.S1E	S	A
CLUG_01750	0.7873	A21.S8A	S	A
CLUG_01750	0.7689	A22.UpperP	U	A
CLUG_01750	0.8157	A23.LowerP	L	A
CLUG_01750	0.7532	A24.SputuP	S	A
CLUG_01750	0.8022	A3.U3G	U	A
CLUG_01750	0.7208	A4.U3B	U	A
CLUG_01750	0.8508	A5.U10D	U	A
CLUG_01750	0.8206	A6.U5C	U	A
CLUG_01750	0.7043	A7.U3E	U	A
CLUG_01750	0.8946	A8.U2E	U	A
CLUG_01750	0.7511	A9.L3D	L	A
CLUG_01750	0.7258	ATCC42720	UNK	ATCC42720
CLUG_01750	0.7191	B16.1310D	UNK	B
CLUG_01750	0.6442	B17.1311G	UNK	B
CLUG_01750	0.7514	B18.1312G	UNK	B
CLUG_01750	0.7925	B19.1310A	UNK	B
CLUG_01750	0.6801	B20.1311A	UNK	B
CLUG_01750	0.7646	B21.1312A	UNK	B
CLUG_01750	0.8707	B22.134E	UNK	B
CLUG_01750	0.8296	B23.133H	UNK	B
CLUG_01750	0.7633	B24.133F	UNK	B
CLUG_01750	0.7664	B25.135C	UNK	B
CLUG_01750	0.7841	B26.131A	UNK	B
CLUG_01750	0.8431	B27.136A	UNK	B
CLUG_01750	0.7329	B28.13UM	UNK	B
CLUG_01750	0.6138	C10.9M3	UNK	C
CLUG_01750	0.7588	C11.9M41	UNK	C
CLUG_01750	0.7484	C12.9U1	UNK	C
CLUG_01750	0.8394	C13.9U2	UNK	C
CLUG_01750	0.8065	C14.9U3	UNK	C
CLUG_01750	0.8146	C15.9U4s	UNK	C
CLUG_01750	0.7119	C4.9L1	UNK	C
CLUG_01750	0.6292	C5.9L2	UNK	C
CLUG_01750	0.6820	C6.9L3	UNK	C
CLUG_01750	0.7238	C7.9L4	UNK	C
CLUG_01750	0.6776	C8.9M1	UNK	C
CLUG_01750	0.7323	C9.9M2	UNK	C
CLUG_01750	0.7555	ctl1.AL1B	L	A
CLUG_01750	0.7794	ctl2.AL1B	L	A
CLUG_01750	0.7225	ctl3.C9L1	UNK	C
CLUG_01751	0.8182	A10.L4C	L	A
CLUG_01751	0.8682	A11.L11G	L	A
CLUG_01751	0.8513	A12.L10B	L	A
CLUG_01751	0.8414	A13.L3B	L	A
CLUG_01751	0.8737	A14.L4E	L	A
CLUG_01751	0.8408	A15.L4G	L	A
CLUG_01751	0.9045	A16.L7C	L	A
CLUG_01751	0.7973	A17.L1B	L	A
CLUG_01751	0.7680	A18.S4H	S	A
CLUG_01751	0.8011	A19.S3B	S	A
CLUG_01751	0.8651	A2.U10A	U	A
CLUG_01751	0.9919	A20.S1E	S	A
CLUG_01751	0.7780	A21.S8A	S	A
CLUG_01751	0.8436	A22.UpperP	U	A
CLUG_01751	0.8410	A23.LowerP	L	A
CLUG_01751	0.8024	A24.SputuP	S	A
CLUG_01751	0.7489	A3.U3G	U	A
CLUG_01751	0.8871	A4.U3B	U	A
CLUG_01751	0.8133	A5.U10D	U	A
CLUG_01751	0.8809	A6.U5C	U	A
CLUG_01751	0.8548	A7.U3E	U	A
CLUG_01751	0.9414	A8.U2E	U	A
CLUG_01751	0.7948	A9.L3D	L	A
CLUG_01751	0.7777	ATCC42720	UNK	ATCC42720
CLUG_01751	0.8638	B16.1310D	UNK	B
CLUG_01751	0.6514	B17.1311G	UNK	B
CLUG_01751	0.8405	B18.1312G	UNK	B
CLUG_01751	0.7375	B19.1310A	UNK	B
CLUG_01751	0.7310	B20.1311A	UNK	B
CLUG_01751	0.8589	B21.1312A	UNK	B
CLUG_01751	0.8769	B22.134E	UNK	B
CLUG_01751	0.8001	B23.133H	UNK	B
CLUG_01751	0.8566	B24.133F	UNK	B
CLUG_01751	0.7354	B25.135C	UNK	B
CLUG_01751	0.8187	B26.131A	UNK	B
CLUG_01751	0.8309	B27.136A	UNK	B
CLUG_01751	0.6689	B28.13UM	UNK	B
CLUG_01751	0.5797	C10.9M3	UNK	C
CLUG_01751	0.6819	C11.9M41	UNK	C
CLUG_01751	0.7208	C12.9U1	UNK	C
CLUG_01751	0.8870	C13.9U2	UNK	C
CLUG_01751	0.7988	C14.9U3	UNK	C
CLUG_01751	0.8193	C15.9U4s	UNK	C
CLUG_01751	0.6763	C4.9L1	UNK	C
CLUG_01751	0.6652	C5.9L2	UNK	C
CLUG_01751	0.6995	C6.9L3	UNK	C
CLUG_01751	0.6781	C7.9L4	UNK	C
CLUG_01751	0.6068	C8.9M1	UNK	C
CLUG_01751	0.7284	C9.9M2	UNK	C
CLUG_01751	0.7725	ctl1.AL1B	L	A
CLUG_01751	0.8062	ctl2.AL1B	L	A
CLUG_01751	0.8126	ctl3.C9L1	UNK	C
CLUG_01752	1.0109	A10.L4C	L	A
CLUG_01752	0.8796	A11.L11G	L	A
CLUG_01752	0.8834	A12.L10B	L	A
CLUG_01752	0.8294	A13.L3B	L	A
CLUG_01752	0.8276	A14.L4E	L	A
CLUG_01752	0.9980	A15.L4G	L	A
CLUG_01752	0.9832	A16.L7C	L	A
CLUG_01752	0.8953	A17.L1B	L	A
CLUG_01752	0.8665	A18.S4H	S	A
CLUG_01752	0.8528	A19.S3B	S	A
CLUG_01752	0.9363	A2.U10A	U	A
CLUG_01752	0.9444	A20.S1E	S	A
CLUG_01752	0.8481	A21.S8A	S	A
CLUG_01752	0.8821	A22.UpperP	U	A
CLUG_01752	0.8834	A23.LowerP	L	A
CLUG_01752	0.9052	A24.SputuP	S	A
CLUG_01752	0.7892	A3.U3G	U	A
CLUG_01752	0.9349	A4.U3B	U	A
CLUG_01752	0.7932	A5.U10D	U	A
CLUG_01752	0.9803	A6.U5C	U	A
CLUG_01752	0.8458	A7.U3E	U	A
CLUG_01752	0.9097	A8.U2E	U	A
CLUG_01752	0.8192	A9.L3D	L	A
CLUG_01752	0.8234	ATCC42720	UNK	ATCC42720
CLUG_01752	0.8433	B16.1310D	UNK	B
CLUG_01752	0.7711	B17.1311G	UNK	B
CLUG_01752	0.8878	B18.1312G	UNK	B
CLUG_01752	0.8326	B19.1310A	UNK	B
CLUG_01752	0.8226	B20.1311A	UNK	B
CLUG_01752	0.8522	B21.1312A	UNK	B
CLUG_01752	0.9082	B22.134E	UNK	B
CLUG_01752	0.8904	B23.133H	UNK	B
CLUG_01752	0.9070	B24.133F	UNK	B
CLUG_01752	0.8389	B25.135C	UNK	B
CLUG_01752	0.8466	B26.131A	UNK	B
CLUG_01752	0.8858	B27.136A	UNK	B
CLUG_01752	0.8802	B28.13UM	UNK	B
CLUG_01752	0.6539	C10.9M3	UNK	C
CLUG_01752	0.7339	C11.9M41	UNK	C
CLUG_01752	0.8012	C12.9U1	UNK	C
CLUG_01752	0.8820	C13.9U2	UNK	C
CLUG_01752	0.8384	C14.9U3	UNK	C
CLUG_01752	0.8702	C15.9U4s	UNK	C
CLUG_01752	0.7958	C4.9L1	UNK	C
CLUG_01752	0.6641	C5.9L2	UNK	C
CLUG_01752	0.8036	C6.9L3	UNK	C
CLUG_01752	0.7875	C7.9L4	UNK	C
CLUG_01752	0.6523	C8.9M1	UNK	C
CLUG_01752	0.8006	C9.9M2	UNK	C
CLUG_01752	0.8873	ctl1.AL1B	L	A
CLUG_01752	0.8415	ctl2.AL1B	L	A
CLUG_01752	0.8880	ctl3.C9L1	UNK	C
CLUG_01753	0.8561	A10.L4C	L	A
CLUG_01753	0.7865	A11.L11G	L	A
CLUG_01753	0.9166	A12.L10B	L	A
CLUG_01753	0.8511	A13.L3B	L	A
CLUG_01753	0.8423	A14.L4E	L	A
CLUG_01753	0.9122	A15.L4G	L	A
CLUG_01753	0.9082	A16.L7C	L	A
CLUG_01753	0.9043	A17.L1B	L	A
CLUG_01753	0.8604	A18.S4H	S	A
CLUG_01753	0.8592	A19.S3B	S	A
CLUG_01753	0.9177	A2.U10A	U	A
CLUG_01753	0.8003	A20.S1E	S	A
CLUG_01753	0.8283	A21.S8A	S	A
CLUG_01753	0.8657	A22.UpperP	U	A
CLUG_01753	0.9032	A23.LowerP	L	A
CLUG_01753	0.7545	A24.SputuP	S	A
CLUG_01753	0.7375	A3.U3G	U	A
CLUG_01753	0.8711	A4.U3B	U	A
CLUG_01753	0.8037	A5.U10D	U	A
CLUG_01753	0.9177	A6.U5C	U	A
CLUG_01753	0.9027	A7.U3E	U	A
CLUG_01753	0.9351	A8.U2E	U	A
CLUG_01753	0.8458	A9.L3D	L	A
CLUG_01753	0.7958	ATCC42720	UNK	ATCC42720
CLUG_01753	0.8172	B16.1310D	UNK	B
CLUG_01753	0.7000	B17.1311G	UNK	B
CLUG_01753	0.8350	B18.1312G	UNK	B
CLUG_01753	0.7831	B19.1310A	UNK	B
CLUG_01753	0.7516	B20.1311A	UNK	B
CLUG_01753	0.7832	B21.1312A	UNK	B
CLUG_01753	0.8975	B22.134E	UNK	B
CLUG_01753	0.8461	B23.133H	UNK	B
CLUG_01753	0.8189	B24.133F	UNK	B
CLUG_01753	0.7529	B25.135C	UNK	B
CLUG_01753	0.8156	B26.131A	UNK	B
CLUG_01753	0.8585	B27.136A	UNK	B
CLUG_01753	0.7950	B28.13UM	UNK	B
CLUG_01753	0.5855	C10.9M3	UNK	C
CLUG_01753	0.7466	C11.9M41	UNK	C
CLUG_01753	0.6869	C12.9U1	UNK	C
CLUG_01753	0.8539	C13.9U2	UNK	C
CLUG_01753	0.7853	C14.9U3	UNK	C
CLUG_01753	0.9062	C15.9U4s	UNK	C
CLUG_01753	0.6535	C4.9L1	UNK	C
CLUG_01753	0.6469	C5.9L2	UNK	C
CLUG_01753	0.7541	C6.9L3	UNK	C
CLUG_01753	0.7564	C7.9L4	UNK	C
CLUG_01753	0.6137	C8.9M1	UNK	C
CLUG_01753	0.7996	C9.9M2	UNK	C
CLUG_01753	0.8171	ctl1.AL1B	L	A
CLUG_01753	0.8418	ctl2.AL1B	L	A
CLUG_01753	0.7830	ctl3.C9L1	UNK	C
CLUG_01754	0.0000	A10.L4C	L	A
CLUG_01754	0.0000	A11.L11G	L	A
CLUG_01754	0.0000	A12.L10B	L	A
CLUG_01754	0.0000	A13.L3B	L	A
CLUG_01754	0.0000	A14.L4E	L	A
CLUG_01754	0.0000	A15.L4G	L	A
CLUG_01754	0.0000	A16.L7C	L	A
CLUG_01754	0.0000	A17.L1B	L	A
CLUG_01754	0.0000	A18.S4H	S	A
CLUG_01754	0.0000	A19.S3B	S	A
CLUG_01754	0.0000	A2.U10A	U	A
CLUG_01754	0.0000	A20.S1E	S	A
CLUG_01754	0.0000	A21.S8A	S	A
CLUG_01754	0.0000	A22.UpperP	U	A
CLUG_01754	0.0000	A23.LowerP	L	A
CLUG_01754	0.0000	A24.SputuP	S	A
CLUG_01754	0.0000	A3.U3G	U	A
CLUG_01754	0.0000	A4.U3B	U	A
CLUG_01754	0.0000	A5.U10D	U	A
CLUG_01754	0.0000	A6.U5C	U	A
CLUG_01754	0.0000	A7.U3E	U	A
CLUG_01754	0.0000	A8.U2E	U	A
CLUG_01754	0.0000	A9.L3D	L	A
CLUG_01754	0.9748	ATCC42720	UNK	ATCC42720
CLUG_01754	0.0000	B16.1310D	UNK	B
CLUG_01754	0.0000	B17.1311G	UNK	B
CLUG_01754	0.0000	B18.1312G	UNK	B
CLUG_01754	0.0000	B19.1310A	UNK	B
CLUG_01754	0.0000	B20.1311A	UNK	B
CLUG_01754	0.0000	B21.1312A	UNK	B
CLUG_01754	0.0000	B22.134E	UNK	B
CLUG_01754	0.0000	B23.133H	UNK	B
CLUG_01754	0.0000	B24.133F	UNK	B
CLUG_01754	0.0000	B25.135C	UNK	B
CLUG_01754	0.0000	B26.131A	UNK	B
CLUG_01754	0.0000	B27.136A	UNK	B
CLUG_01754	0.0000	B28.13UM	UNK	B
CLUG_01754	0.0000	C10.9M3	UNK	C
CLUG_01754	0.0000	C11.9M41	UNK	C
CLUG_01754	0.0000	C12.9U1	UNK	C
CLUG_01754	0.0000	C13.9U2	UNK	C
CLUG_01754	0.0000	C14.9U3	UNK	C
CLUG_01754	0.0000	C15.9U4s	UNK	C
CLUG_01754	0.0000	C4.9L1	UNK	C
CLUG_01754	0.0000	C5.9L2	UNK	C
CLUG_01754	0.0000	C6.9L3	UNK	C
CLUG_01754	0.0000	C7.9L4	UNK	C
CLUG_01754	0.0000	C8.9M1	UNK	C
CLUG_01754	0.0000	C9.9M2	UNK	C
CLUG_01754	0.0000	ctl1.AL1B	L	A
CLUG_01754	0.0000	ctl2.AL1B	L	A
CLUG_01754	0.0000	ctl3.C9L1	UNK	C
CLUG_01755	0.0000	A10.L4C	L	A
CLUG_01755	0.0000	A11.L11G	L	A
CLUG_01755	0.0000	A12.L10B	L	A
CLUG_01755	0.0000	A13.L3B	L	A
CLUG_01755	0.0000	A14.L4E	L	A
CLUG_01755	0.0000	A15.L4G	L	A
CLUG_01755	0.0000	A16.L7C	L	A
CLUG_01755	0.0000	A17.L1B	L	A
CLUG_01755	0.0000	A18.S4H	S	A
CLUG_01755	0.0000	A19.S3B	S	A
CLUG_01755	0.0000	A2.U10A	U	A
CLUG_01755	0.0000	A20.S1E	S	A
CLUG_01755	0.0000	A21.S8A	S	A
CLUG_01755	0.0000	A22.UpperP	U	A
CLUG_01755	0.0000	A23.LowerP	L	A
CLUG_01755	0.0000	A24.SputuP	S	A
CLUG_01755	0.0000	A3.U3G	U	A
CLUG_01755	0.0000	A4.U3B	U	A
CLUG_01755	0.0000	A5.U10D	U	A
CLUG_01755	0.0000	A6.U5C	U	A
CLUG_01755	0.0000	A7.U3E	U	A
CLUG_01755	0.0000	A8.U2E	U	A
CLUG_01755	0.0000	A9.L3D	L	A
CLUG_01755	1.1848	ATCC42720	UNK	ATCC42720
CLUG_01755	0.0000	B16.1310D	UNK	B
CLUG_01755	0.0000	B17.1311G	UNK	B
CLUG_01755	0.0000	B18.1312G	UNK	B
CLUG_01755	0.0000	B19.1310A	UNK	B
CLUG_01755	0.0000	B20.1311A	UNK	B
CLUG_01755	0.0000	B21.1312A	UNK	B
CLUG_01755	0.0000	B22.134E	UNK	B
CLUG_01755	0.0000	B23.133H	UNK	B
CLUG_01755	0.0000	B24.133F	UNK	B
CLUG_01755	0.0000	B25.135C	UNK	B
CLUG_01755	0.0000	B26.131A	UNK	B
CLUG_01755	0.0000	B27.136A	UNK	B
CLUG_01755	0.0000	B28.13UM	UNK	B
CLUG_01755	0.0000	C10.9M3	UNK	C
CLUG_01755	0.0000	C11.9M41	UNK	C
CLUG_01755	0.0000	C12.9U1	UNK	C
CLUG_01755	0.0000	C13.9U2	UNK	C
CLUG_01755	0.0000	C14.9U3	UNK	C
CLUG_01755	0.0000	C15.9U4s	UNK	C
CLUG_01755	0.0000	C4.9L1	UNK	C
CLUG_01755	0.0000	C5.9L2	UNK	C
CLUG_01755	0.0000	C6.9L3	UNK	C
CLUG_01755	0.0000	C7.9L4	UNK	C
CLUG_01755	0.0000	C8.9M1	UNK	C
CLUG_01755	0.0000	C9.9M2	UNK	C
CLUG_01755	0.0000	ctl1.AL1B	L	A
CLUG_01755	0.0000	ctl2.AL1B	L	A
CLUG_01755	0.0000	ctl3.C9L1	UNK	C
CLUG_01756	0.9066	A10.L4C	L	A
CLUG_01756	0.7845	A11.L11G	L	A
CLUG_01756	0.7673	A12.L10B	L	A
CLUG_01756	0.8494	A13.L3B	L	A
CLUG_01756	0.8240	A14.L4E	L	A
CLUG_01756	0.9129	A15.L4G	L	A
CLUG_01756	0.8667	A16.L7C	L	A
CLUG_01756	0.8597	A17.L1B	L	A
CLUG_01756	0.8452	A18.S4H	S	A
CLUG_01756	0.8646	A19.S3B	S	A
CLUG_01756	0.8539	A2.U10A	U	A
CLUG_01756	0.8567	A20.S1E	S	A
CLUG_01756	0.7671	A21.S8A	S	A
CLUG_01756	0.8326	A22.UpperP	U	A
CLUG_01756	0.8460	A23.LowerP	L	A
CLUG_01756	0.8476	A24.SputuP	S	A
CLUG_01756	0.7367	A3.U3G	U	A
CLUG_01756	0.8719	A4.U3B	U	A
CLUG_01756	0.7788	A5.U10D	U	A
CLUG_01756	0.8898	A6.U5C	U	A
CLUG_01756	0.7899	A7.U3E	U	A
CLUG_01756	0.8180	A8.U2E	U	A
CLUG_01756	0.7288	A9.L3D	L	A
CLUG_01756	0.7337	ATCC42720	UNK	ATCC42720
CLUG_01756	0.8125	B16.1310D	UNK	B
CLUG_01756	0.7108	B17.1311G	UNK	B
CLUG_01756	0.8419	B18.1312G	UNK	B
CLUG_01756	0.8018	B19.1310A	UNK	B
CLUG_01756	0.7743	B20.1311A	UNK	B
CLUG_01756	0.8570	B21.1312A	UNK	B
CLUG_01756	0.8826	B22.134E	UNK	B
CLUG_01756	0.8409	B23.133H	UNK	B
CLUG_01756	0.8451	B24.133F	UNK	B
CLUG_01756	0.7740	B25.135C	UNK	B
CLUG_01756	0.7892	B26.131A	UNK	B
CLUG_01756	0.8852	B27.136A	UNK	B
CLUG_01756	0.8931	B28.13UM	UNK	B
CLUG_01756	0.6010	C10.9M3	UNK	C
CLUG_01756	0.7816	C11.9M41	UNK	C
CLUG_01756	0.7172	C12.9U1	UNK	C
CLUG_01756	0.8497	C13.9U2	UNK	C
CLUG_01756	0.8179	C14.9U3	UNK	C
CLUG_01756	0.8091	C15.9U4s	UNK	C
CLUG_01756	0.7526	C4.9L1	UNK	C
CLUG_01756	0.6570	C5.9L2	UNK	C
CLUG_01756	0.8030	C6.9L3	UNK	C
CLUG_01756	0.8066	C7.9L4	UNK	C
CLUG_01756	0.6345	C8.9M1	UNK	C
CLUG_01756	0.8310	C9.9M2	UNK	C
CLUG_01756	0.8632	ctl1.AL1B	L	A
CLUG_01756	0.8357	ctl2.AL1B	L	A
CLUG_01756	0.8302	ctl3.C9L1	UNK	C
CLUG_01757	0.7667	A10.L4C	L	A
CLUG_01757	0.7638	A11.L11G	L	A
CLUG_01757	0.7644	A12.L10B	L	A
CLUG_01757	0.7428	A13.L3B	L	A
CLUG_01757	0.8068	A14.L4E	L	A
CLUG_01757	0.8558	A15.L4G	L	A
CLUG_01757	0.8607	A16.L7C	L	A
CLUG_01757	0.8455	A17.L1B	L	A
CLUG_01757	0.7790	A18.S4H	S	A
CLUG_01757	0.7866	A19.S3B	S	A
CLUG_01757	0.8200	A2.U10A	U	A
CLUG_01757	0.8946	A20.S1E	S	A
CLUG_01757	0.7658	A21.S8A	S	A
CLUG_01757	0.8233	A22.UpperP	U	A
CLUG_01757	0.7797	A23.LowerP	L	A
CLUG_01757	0.7157	A24.SputuP	S	A
CLUG_01757	0.6623	A3.U3G	U	A
CLUG_01757	0.8267	A4.U3B	U	A
CLUG_01757	0.7918	A5.U10D	U	A
CLUG_01757	0.9056	A6.U5C	U	A
CLUG_01757	0.7825	A7.U3E	U	A
CLUG_01757	0.8116	A8.U2E	U	A
CLUG_01757	0.7552	A9.L3D	L	A
CLUG_01757	0.7344	ATCC42720	UNK	ATCC42720
CLUG_01757	0.7577	B16.1310D	UNK	B
