GENE	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_01213	1.7558	C9.9M2	UNK	C
CLUG_01213	1.5439	ctl1.AL1B	L	A
CLUG_01213	1.5702	ctl2.AL1B	L	A
CLUG_01213	1.6793	ctl3.C9L1	UNK	C
CLUG_01214	1.5131	A10.L4C	L	A
CLUG_01214	1.6235	A11.L11G	L	A
CLUG_01214	1.6809	A12.L10B	L	A
CLUG_01214	1.5831	A13.L3B	L	A
CLUG_01214	1.5850	A14.L4E	L	A
CLUG_01214	1.6099	A15.L4G	L	A
CLUG_01214	1.6146	A16.L7C	L	A
CLUG_01214	1.7491	A17.L1B	L	A
CLUG_01214	1.5805	A18.S4H	S	A
CLUG_01214	1.5910	A19.S3B	S	A
CLUG_01214	1.7553	A2.U10A	U	A
CLUG_01214	1.7186	A20.S1E	S	A
CLUG_01214	1.5263	A21.S8A	S	A
CLUG_01214	1.5591	A22.UpperP	U	A
CLUG_01214	1.5435	A23.LowerP	L	A
CLUG_01214	1.5510	A24.SputuP	S	A
CLUG_01214	1.6623	A3.U3G	U	A
CLUG_01214	1.5300	A4.U3B	U	A
CLUG_01214	1.6944	A5.U10D	U	A
CLUG_01214	1.4753	A6.U5C	U	A
CLUG_01214	1.6511	A7.U3E	U	A
CLUG_01214	1.6481	A8.U2E	U	A
CLUG_01214	1.5903	A9.L3D	L	A
CLUG_01214	1.5807	ATCC42720	UNK	ATCC42720
CLUG_01214	1.7437	B16.1310D	UNK	B
CLUG_01214	1.7793	B17.1311G	UNK	B
CLUG_01214	1.7245	B18.1312G	UNK	B
CLUG_01214	1.5327	B19.1310A	UNK	B
CLUG_01214	1.8506	B20.1311A	UNK	B
CLUG_01214	1.6855	B21.1312A	UNK	B
CLUG_01214	1.5905	B22.134E	UNK	B
CLUG_01214	1.7549	B23.133H	UNK	B
CLUG_01214	1.6158	B24.133F	UNK	B
CLUG_01214	1.5776	B25.135C	UNK	B
CLUG_01214	1.5423	B26.131A	UNK	B
CLUG_01214	1.5168	B27.136A	UNK	B
CLUG_01214	1.4965	B28.13UM	UNK	B
CLUG_01214	2.0309	C10.9M3	UNK	C
CLUG_01214	1.9726	C11.9M41	UNK	C
CLUG_01214	2.1984	C12.9U1	UNK	C
CLUG_01214	1.5755	C13.9U2	UNK	C
CLUG_01214	1.6840	C14.9U3	UNK	C
CLUG_01214	1.5588	C15.9U4s	UNK	C
CLUG_01214	1.8440	C4.9L1	UNK	C
CLUG_01214	1.7730	C5.9L2	UNK	C
CLUG_01214	1.8541	C6.9L3	UNK	C
CLUG_01214	1.9384	C7.9L4	UNK	C
CLUG_01214	2.1386	C8.9M1	UNK	C
CLUG_01214	1.7427	C9.9M2	UNK	C
CLUG_01214	1.5301	ctl1.AL1B	L	A
CLUG_01214	1.5353	ctl2.AL1B	L	A
CLUG_01214	1.5940	ctl3.C9L1	UNK	C
CLUG_01215	1.7465	A10.L4C	L	A
CLUG_01215	1.6519	A11.L11G	L	A
CLUG_01215	1.7481	A12.L10B	L	A
CLUG_01215	1.6162	A13.L3B	L	A
CLUG_01215	1.6184	A14.L4E	L	A
CLUG_01215	1.5822	A15.L4G	L	A
CLUG_01215	1.6639	A16.L7C	L	A
CLUG_01215	1.6939	A17.L1B	L	A
CLUG_01215	1.5854	A18.S4H	S	A
CLUG_01215	1.6573	A19.S3B	S	A
CLUG_01215	1.8238	A2.U10A	U	A
CLUG_01215	1.7704	A20.S1E	S	A
CLUG_01215	1.5304	A21.S8A	S	A
CLUG_01215	1.6873	A22.UpperP	U	A
CLUG_01215	1.6474	A23.LowerP	L	A
CLUG_01215	1.6749	A24.SputuP	S	A
CLUG_01215	1.7124	A3.U3G	U	A
CLUG_01215	1.5616	A4.U3B	U	A
CLUG_01215	1.6755	A5.U10D	U	A
CLUG_01215	1.5211	A6.U5C	U	A
CLUG_01215	1.6665	A7.U3E	U	A
CLUG_01215	1.7169	A8.U2E	U	A
CLUG_01215	1.6729	A9.L3D	L	A
CLUG_01215	1.6595	ATCC42720	UNK	ATCC42720
CLUG_01215	1.7367	B16.1310D	UNK	B
CLUG_01215	1.7995	B17.1311G	UNK	B
CLUG_01215	1.7811	B18.1312G	UNK	B
CLUG_01215	1.6261	B19.1310A	UNK	B
CLUG_01215	1.9345	B20.1311A	UNK	B
CLUG_01215	1.7084	B21.1312A	UNK	B
CLUG_01215	1.6702	B22.134E	UNK	B
CLUG_01215	1.8567	B23.133H	UNK	B
CLUG_01215	1.6056	B24.133F	UNK	B
CLUG_01215	1.6907	B25.135C	UNK	B
CLUG_01215	1.6567	B26.131A	UNK	B
CLUG_01215	1.5447	B27.136A	UNK	B
CLUG_01215	1.5466	B28.13UM	UNK	B
CLUG_01215	2.0523	C10.9M3	UNK	C
CLUG_01215	1.9964	C11.9M41	UNK	C
CLUG_01215	2.1916	C12.9U1	UNK	C
CLUG_01215	1.5790	C13.9U2	UNK	C
CLUG_01215	1.7260	C14.9U3	UNK	C
CLUG_01215	1.6323	C15.9U4s	UNK	C
CLUG_01215	1.8243	C4.9L1	UNK	C
CLUG_01215	1.9205	C5.9L2	UNK	C
CLUG_01215	1.8210	C6.9L3	UNK	C
CLUG_01215	1.9744	C7.9L4	UNK	C
CLUG_01215	2.1395	C8.9M1	UNK	C
CLUG_01215	1.7634	C9.9M2	UNK	C
CLUG_01215	1.5212	ctl1.AL1B	L	A
CLUG_01215	1.5260	ctl2.AL1B	L	A
CLUG_01215	1.7104	ctl3.C9L1	UNK	C
CLUG_01216	1.5844	A10.L4C	L	A
CLUG_01216	1.5196	A11.L11G	L	A
CLUG_01216	1.6787	A12.L10B	L	A
CLUG_01216	1.5560	A13.L3B	L	A
CLUG_01216	1.5212	A14.L4E	L	A
CLUG_01216	1.4730	A15.L4G	L	A
CLUG_01216	1.4836	A16.L7C	L	A
CLUG_01216	1.5582	A17.L1B	L	A
CLUG_01216	1.4837	A18.S4H	S	A
CLUG_01216	1.4995	A19.S3B	S	A
CLUG_01216	1.5646	A2.U10A	U	A
CLUG_01216	1.6676	A20.S1E	S	A
CLUG_01216	1.4461	A21.S8A	S	A
CLUG_01216	1.5295	A22.UpperP	U	A
CLUG_01216	1.5543	A23.LowerP	L	A
CLUG_01216	1.4222	A24.SputuP	S	A
CLUG_01216	1.6357	A3.U3G	U	A
CLUG_01216	1.4240	A4.U3B	U	A
CLUG_01216	1.6617	A5.U10D	U	A
CLUG_01216	1.4522	A6.U5C	U	A
CLUG_01216	1.5297	A7.U3E	U	A
CLUG_01216	1.6296	A8.U2E	U	A
CLUG_01216	1.6382	A9.L3D	L	A
CLUG_01216	1.5750	ATCC42720	UNK	ATCC42720
CLUG_01216	1.7547	B16.1310D	UNK	B
CLUG_01216	1.8512	B17.1311G	UNK	B
CLUG_01216	1.7045	B18.1312G	UNK	B
CLUG_01216	1.6026	B19.1310A	UNK	B
CLUG_01216	1.8449	B20.1311A	UNK	B
CLUG_01216	1.7130	B21.1312A	UNK	B
CLUG_01216	1.6849	B22.134E	UNK	B
CLUG_01216	1.7868	B23.133H	UNK	B
CLUG_01216	1.5414	B24.133F	UNK	B
CLUG_01216	1.6180	B25.135C	UNK	B
CLUG_01216	1.5704	B26.131A	UNK	B
CLUG_01216	1.4682	B27.136A	UNK	B
CLUG_01216	1.7947	B28.13UM	UNK	B
CLUG_01216	1.9954	C10.9M3	UNK	C
CLUG_01216	2.0096	C11.9M41	UNK	C
CLUG_01216	2.1640	C12.9U1	UNK	C
CLUG_01216	1.5869	C13.9U2	UNK	C
CLUG_01216	1.6768	C14.9U3	UNK	C
CLUG_01216	1.5663	C15.9U4s	UNK	C
CLUG_01216	1.9121	C4.9L1	UNK	C
CLUG_01216	1.9320	C5.9L2	UNK	C
CLUG_01216	1.8780	C6.9L3	UNK	C
CLUG_01216	1.9947	C7.9L4	UNK	C
CLUG_01216	2.1883	C8.9M1	UNK	C
CLUG_01216	1.6939	C9.9M2	UNK	C
CLUG_01216	1.5867	ctl1.AL1B	L	A
CLUG_01216	1.4751	ctl2.AL1B	L	A
CLUG_01216	1.6707	ctl3.C9L1	UNK	C
CLUG_01217	1.5645	A10.L4C	L	A
CLUG_01217	1.4599	A11.L11G	L	A
CLUG_01217	1.6174	A12.L10B	L	A
CLUG_01217	1.5394	A13.L3B	L	A
CLUG_01217	1.4467	A14.L4E	L	A
CLUG_01217	1.4899	A15.L4G	L	A
CLUG_01217	1.4100	A16.L7C	L	A
CLUG_01217	1.4323	A17.L1B	L	A
CLUG_01217	1.3857	A18.S4H	S	A
